Population,Treatment,Sire,Dame,Bolting time (days),DW (g),Total glucosinolates (µmol/g DW),Trypsin-PI (%),Trichomes
,,,,,,,,
Desert,Control,1,101,24,2.82,15.58,33.16831683,
,,,,,,,,
Desert,Control,1,101,29,6.77,31.72,15.77946768,4
,,,,,,,,
Desert,Control,1,101,29,6.27,14.83,29.24369748,4
,,,,,,,,
Desert,Control,1,102,29,5.18,17.2,26.58730159,3
,,,,,,,,
Desert,Control,1,102,29,4.8,22.76,26.66666667,2
,,,,,,,,
Desert,Control,1,102,29,,12.4,33.91915641,
,,,,,,,,
Desert,Control,1,103,25,6.45,14.54,34.94208494,3
,,,,,,,,
Desert,Control,1,103,26,6.06,18.37,29.79214781,3
,,,,,,,,
Desert,Control,1,103,29,6.86,16.62,31.36531365,4
,,,,,,,,
Desert,Control,2,104,22,,,33.92857143,
,,,,,,,,
Desert,Control,2,104,,,,,
,,,,,,,,
Desert,Control,2,104,,,,,
,,,,,,,,
Desert,Control,2,105,24,5.16,13.54,37.96875,3
,,,,,,,,
Desert,Control,2,105,22,4.06,7.09,29.7979798,4
,,,,,,,,
Desert,Control,2,105,24,,12.93,37.20930233,3
,,,,,,,,
Desert,Control,2,106,22,3.2,18.92,42.53246753,4
,,,,,,,,
Desert,Control,2,106,29,6.24,12.96,35.71428571,3
,,,,,,,,
Desert,Control,2,106,29,6.61,6.64,42.18512898,3
,,,,,,,,
Desert,Control,3,107,24,6.4,13.79,31.37996219,2
,,,,,,,,
Desert,Control,3,107,23,5.05,17.4,24.29906542,2
,,,,,,,,
Desert,Control,3,107,25,5.85,16.46,24.84599589,2
,,,,,,,,
Desert,Control,3,108,22,4.74,28.31,20.89552239,3
,,,,,,,,
Desert,Control,3,108,24,5.71,20.33,25.04743833,4
,,,,,,,,
Desert,Control,3,108,29,8.48,13.87,16.17933723,3
,,,,,,,,
Desert,Control,3,109,24,9.2,13.98,11.3785558,3
,,,,,,,,
Desert,Control,3,109,29,9.27,12.76,12.18637993,2
,,,,,,,,
Desert,Control,3,109,26,7.88,14.15,32.26381462,2
,,,,,,,,
Desert,Control,4,110,24,6.15,9.41,37.85488959,3
,,,,,,,,
Desert,Control,4,110,22,4.49,14.95,33.97129187,2
,,,,,,,,
Desert,Control,4,110,22,6.54,9.87,34.17721519,3
,,,,,,,,
Desert,Control,4,111,24,5.04,13.73,22.2972973,4
,,,,,,,,
Desert,Control,4,111,24,2.52,7.66,45.00907441,4
,,,,,,,,
Desert,Control,4,111,22,5.03,,21.3836478,3
,,,,,,,,
Desert,Control,4,112,,,,,
,,,,,,,,
Desert,Control,4,112,,,,,
,,,,,,,,
Desert,Control,4,112,,,,,
,,,,,,,,
Desert,Control,5,113,24,5.5,16.38,,3
,,,,,,,,
Desert,Control,5,113,26,6.23,13.18,,3
,,,,,,,,
Desert,Control,5,113,29,3.86,12.13,,3
,,,,,,,,
Desert,Control,5,114,24,4.56,18.83,,2
,,,,,,,,
Desert,Control,5,114,26,,4.35,,2
,,,,,,,,
Desert,Control,5,114,29,9.34,20.77,,3
,,,,,,,,
Desert,Control,5,115,24,4.6,14.08,,2
,,,,,,,,
Desert,Control,5,115,29,3.55,13.33,,2
,,,,,,,,
Desert,Control,5,115,31,,12.11,,
,,,,,,,,
Desert,Control,6,116,29,4.53,9.94,34.04907975,3
,,,,,,,,
Desert,Control,6,116,29,4.6,18.26,42.3670669,4
,,,,,,,,
Desert,Control,6,116,29,6.95,11.96,32.58064516,4
,,,,,,,,
Desert,Control,6,117,31,4.43,8.84,32.93413174,
,,,,,,,,
Desert,Control,6,117,25,6.95,19.92,20.40441176,3
,,,,,,,,
Desert,Control,6,117,25,6.56,8.14,,4
,,,,,,,,
Desert,Control,6,118,29,5.17,15.23,31.13772455,5
,,,,,,,,
Desert,Control,6,118,26,1.83,18.35,37.88461538,3
,,,,,,,,
Desert,Control,6,118,24,4.85,18.47,36.56957929,4
,,,,,,,,
Desert,Control,7,119,26,6.16,13.5,28.51637765,3
,,,,,,,,
Desert,Control,7,119,26,4.14,14.1,39.78159126,3
,,,,,,,,
Desert,Control,7,119,29,8.14,,,3
,,,,,,,,
Desert,Control,7,120,22,5.12,13.61,23.93320965,3
,,,,,,,,
Desert,Control,7,120,29,1.24,12.19,18.75,3
,,,,,,,,
Desert,Control,7,120,29,6.79,14.35,37.72189349,2
,,,,,,,,
Desert,Control,7,121,26,2.88,14.53,26.92307692,5
,,,,,,,,
Desert,Control,7,121,26,3.38,15.12,34.23137876,3
,,,,,,,,
Desert,Control,7,121,26,4.71,13.18,42.56651017,3
,,,,,,,,
Desert,Control,8,122,24,5.07,10.8,31.20124805,1
,,,,,,,,
Desert,Control,8,122,24,6.82,12.75,42.56651017,3
,,,,,,,,
Desert,Control,8,122,,,13.72,41.04234528,
,,,,,,,,
Desert,Control,8,123,30,7.64,12.03,38.90977444,4
,,,,,,,,
Desert,Control,8,123,26,5.13,12.67,35.68521031,5
,,,,,,,,
Desert,Control,8,123,,,6.38,,4
,,,,,,,,
Desert,Control,8,124,22,6.67,9.44,37.59541985,3
,,,,,,,,
Desert,Control,8,124,24,4.1,13.48,31.66666667,3
,,,,,,,,
Desert,Control,8,124,29,4.5,,,5
,,,,,,,,
Desert,Control,9,125,26,6.69,21.72,30.81967213,1
,,,,,,,,
Desert,Control,9,125,26,9.27,9.8,20.07434944,5
,,,,,,,,
Desert,Control,9,125,26,6.27,14.73,39.87915408,4
,,,,,,,,
Desert,Control,9,126,24,6.62,14.38,29.11392405,4
,,,,,,,,
Desert,Control,9,126,,8.17,,,
,,,,,,,,
Desert,Control,9,126,,,,,
,,,,,,,,
Desert,Control,9,127,26,,16.6,31.99381762,5
,,,,,,,,
Desert,Control,9,127,24,6.46,18.89,17.97752809,5
,,,,,,,,
Desert,Control,9,127,24,9.64,18.01,21.77700348,4
,,,,,,,,
Desert,Control,10,128,26,4.8,3.38,19.51219512,3
,,,,,,,,
Desert,Control,10,128,23,4.44,7.63,30.63492063,3
,,,,,,,,
Desert,Control,10,128,23,4.91,9.56,40.32258065,2
,,,,,,,,
Desert,Control,10,129,,3.82,4.73,42.76629571,
,,,,,,,,
Desert,Control,10,129,,4.91,10.43,33.64341085,2
,,,,,,,,
Desert,Control,10,129,,4.56,7.91,43.30708661,3
,,,,,,,,
Desert,Control,10,130,19,3.07,12.29,36.26168224,3
,,,,,,,,
Desert,Control,10,130,19,2.61,8.48,44.09937888,4
,,,,,,,,
Desert,Control,10,130,26,4.53,10.36,48.64130435,2
,,,,,,,,
Desert,Control,11,131,22,4.96,21.27,24.4,3
,,,,,,,,
Desert,Control,11,131,29,7.17,15.84,40.77380952,3
,,,,,,,,
Desert,Control,11,131,24,3.33,10.98,,3
,,,,,,,,
Desert,Control,11,132,23,7.7,13.14,22.58652095,3
,,,,,,,,
Desert,Control,11,132,23,5.31,14.79,23.17290553,3
,,,,,,,,
Desert,Control,11,132,22,5.1,14.14,40.4296875,3
,,,,,,,,
Desert,Control,11,133,,,,,
,,,,,,,,
Desert,Control,11,133,,,,,
,,,,,,,,
Desert,Control,11,133,,,,,
,,,,,,,,
Desert,Control,12,134,,,,,
,,,,,,,,
Desert,Control,12,134,,,,,
,,,,,,,,
Desert,Control,12,134,,,,,
,,,,,,,,
Desert,Control,12,135,24,2.85,17.31,41.62895928,2
,,,,,,,,
Desert,Control,12,135,23,6.7,14.27,39.40740741,2
,,,,,,,,
Desert,Control,12,135,24,7.53,18.83,43.90602056,3
,,,,,,,,
Desert,Control,12,136,25,6.28,13.1,36.92307692,2
,,,,,,,,
Desert,Control,12,136,22,3.51,14.69,22.53289474,2
,,,,,,,,
Desert,Control,12,136,23,7.51,17.64,31.48479428,1
,,,,,,,,
Desert,Control,13,137,19,3.49,20.24,34.50413223,3
,,,,,,,,
Desert,Control,13,137,,,,26.1627907,
,,,,,,,,
Desert,Control,13,137,,,,42.15686275,
,,,,,,,,
Desert,Control,13,138,24,3.06,19.1,34.84251969,4
,,,,,,,,
Desert,Control,13,138,24,6.7,9.41,,3
,,,,,,,,
Desert,Control,13,138,22,7.94,12.23,,2
,,,,,,,,
Desert,Control,13,139,23,3.44,31.98,32.80632411,4
,,,,,,,,
Desert,Control,13,139,24,6.36,11.73,34.15061296,
,,,,,,,,
Desert,Control,13,139,24,6.7,5.8,35.60209424,2
,,,,,,,,
Desert,Control,14,140,26,4.66,11.29,38.17504655,2
,,,,,,,,
Desert,Control,14,140,23,5.5,8.78,40.40066778,3
,,,,,,,,
Desert,Control,14,140,22,5.81,13.28,32.38636364,2
,,,,,,,,
Desert,Control,14,141,23,5.15,11.36,34.7826087,3
,,,,,,,,
Desert,Control,14,141,20,4.57,13.46,,1
,,,,,,,,
Desert,Control,14,141,26,,13.13,,2
,,,,,,,,
Desert,Control,14,142,24,3.6,8.01,42.53472222,2
,,,,,,,,
Desert,Control,14,142,26,4.42,6.42,42.12962963,3
,,,,,,,,
Desert,Control,14,142,26,4.96,11.12,,1
,,,,,,,,
Desert,Control,15,143,24,5.63,14.51,37.94871795,5
,,,,,,,,
Desert,Control,15,143,22,2.97,11.93,27.78864971,2
,,,,,,,,
Desert,Control,15,143,24,8.64,16.41,32.55813953,
,,,,,,,,
Desert,Control,15,144,,6.37,63.24,23.12030075,5
,,,,,,,,
Desert,Control,15,144,,5.14,11.96,26.01476015,3
,,,,,,,,
Desert,Control,15,144,,4.07,13.02,,3
,,,,,,,,
Desert,Control,15,145,,,,,
,,,,,,,,
Desert,Control,15,145,,,,,
,,,,,,,,
Desert,Control,15,145,,,,,
,,,,,,,,
Desert,Control,16,146,24,5.34,15.36,40.6462585,4
,,,,,,,,
Desert,Control,16,146,24,8.41,8.09,35.26490066,3
,,,,,,,,
Desert,Control,16,146,29,9.88,15.81,29.79094077,4
,,,,,,,,
Desert,Control,16,147,26,6.74,9.6,18.12297735,4
,,,,,,,,
Desert,Control,16,147,26,6.71,10.85,18.13186813,4
,,,,,,,,
Desert,Control,16,147,23,6.6,12.58,39.30197269,3
,,,,,,,,
Desert,Control,16,148,24,6.57,15.7,17.70491803,5
,,,,,,,,
Desert,Control,16,148,24,5.39,10.91,34.39849624,5
,,,,,,,,
Desert,Control,16,148,24,7.09,14.39,17.9584121,3
,,,,,,,,
Desert,Control,17,149,25,4.79,12.68,40.0309119,4
,,,,,,,,
Desert,Control,17,149,25,5.93,16.37,29.90825688,5
,,,,,,,,
Desert,Control,17,149,24,6.32,14.5,41.65366615,5
,,,,,,,,
Desert,Control,17,150,25,4.67,16.42,32.54786451,3
,,,,,,,,
Desert,Control,17,150,25,2.59,5.13,30.70866142,4
,,,,,,,,
Desert,Control,17,150,26,4.89,,,4
,,,,,,,,
Desert,Control,17,151,26,2.63,21.6,35.58558559,
,,,,,,,,
Desert,Control,17,151,29,3.74,15.09,17.17687075,2
,,,,,,,,
Desert,Control,17,151,26,5.34,11.98,34.76190476,3
,,,,,,,,
Desert,Control,18,152,,3.41,10.89,34.49367089,3
,,,,,,,,
Desert,Control,18,152,,5.74,8.82,40.65420561,2
,,,,,,,,
Desert,Control,18,152,,3.99,15.85,45.26484751,2
,,,,,,,,
Desert,Control,18,153,24,5.58,12.38,36.34969325,3
,,,,,,,,
Desert,Control,18,153,24,3.89,13.13,32.06997085,2
,,,,,,,,
Desert,Control,18,153,33,,51.14,28.28947368,1
,,,,,,,,
Desert,Control,18,154,24,4.93,21.16,18.52433281,3
,,,,,,,,
Desert,Control,18,154,34,4.32,13.74,40.27993779,3
,,,,,,,,
Desert,Control,18,154,24,6.97,18.05,45.11278195,2
,,,,,,,,
Desert,Control,19,155,24,1.23,8.74,43.79562044,3
,,,,,,,,
Desert,Control,19,155,24,4.45,20.07,23.23232323,3
,,,,,,,,
Desert,Control,19,155,24,3.68,15.65,,4
,,,,,,,,
Desert,Control,19,156,24,,15.55,39.96350365,3
,,,,,,,,
Desert,Control,19,156,23,6.21,23.54,30.42763158,2
,,,,,,,,
Desert,Control,19,156,29,4.96,,34.62686567,2
,,,,,,,,
Desert,Control,19,157,29,5.66,11.87,46.5408805,3
,,,,,,,,
Desert,Control,19,157,22,7.22,10.89,31.93717277,3
,,,,,,,,
Desert,Control,19,157,22,4.08,15.36,21.22186495,3
,,,,,,,,
Desert,Control,20,158,31,5.86,11.02,32.65007321,2
,,,,,,,,
Desert,Control,20,158,26,3.7,15.03,37.04974271,4
,,,,,,,,
Desert,Control,20,158,26,2.98,21.87,60.71428571,2
,,,,,,,,
Desert,Control,20,159,22,6.2,20.1,41.26506024,2
,,,,,,,,
Desert,Control,20,159,25,,13.5,42.52400549,
,,,,,,,,
Desert,Control,20,159,23,8.27,18.87,34.66872111,2
,,,,,,,,
Desert,Control,20,160,19,3.62,8.38,34.87261146,5
,,,,,,,,
Desert,Control,20,160,19,,11.6,34.66299862,4
,,,,,,,,
Desert,Control,20,160,22,,16.94,36.48,4
,,,,,,,,
Desert,Methyl jasmonate,1,101,29,6.1,15.38,60.96682492,5
,,,,,,,,
Desert,Methyl jasmonate,1,101,23,3.14,11.15,54.78759907,5
,,,,,,,,
Desert,Methyl jasmonate,1,101,26,2.94,17.31,48.40441891,5
,,,,,,,,
Desert,Methyl jasmonate,1,102,33,4.84,14.65,62.73820327,
,,,,,,,,
Desert,Methyl jasmonate,1,102,33,4.79,11.01,48.10039654,5
,,,,,,,,
Desert,Methyl jasmonate,1,102,37,,13.48,71.09628494,5
,,,,,,,,
Desert,Methyl jasmonate,1,103,33,3.29,10.19,60.71536309,
,,,,,,,,
Desert,Methyl jasmonate,1,103,33,5.44,14.84,73.96730075,
,,,,,,,,
Desert,Methyl jasmonate,1,103,,,,95.65585376,
,,,,,,,,
Desert,Methyl jasmonate,2,104,,,,53.20584262,
,,,,,,,,
Desert,Methyl jasmonate,2,104,,,,49.29306402,
,,,,,,,,
Desert,Methyl jasmonate,2,104,,,,63.02432228,
,,,,,,,,
Desert,Methyl jasmonate,2,105,29,7.06,16.03,66.96338287,5
,,,,,,,,
Desert,Methyl jasmonate,2,105,22,2.26,10.89,51.78394738,5
,,,,,,,,
Desert,Methyl jasmonate,2,105,29,7.82,16.38,35.36365151,5
,,,,,,,,
Desert,Methyl jasmonate,2,106,36,3.64,15.73,58.90976821,5
,,,,,,,,
Desert,Methyl jasmonate,2,106,33,5.25,8.47,61.28087051,4
,,,,,,,,
Desert,Methyl jasmonate,2,106,33,6.95,18.31,44.17897328,4
,,,,,,,,
Desert,Methyl jasmonate,3,107,24,,8.7,61.12499685,
,,,,,,,,
Desert,Methyl jasmonate,3,107,24,4.47,20.87,57.05492537,4
,,,,,,,,
Desert,Methyl jasmonate,3,107,23,5.27,22.45,70.5875504,4
,,,,,,,,
Desert,Methyl jasmonate,3,108,33,5.57,15.7,63.14361739,4
,,,,,,,,
Desert,Methyl jasmonate,3,108,29,6.57,20.91,,4
,,,,,,,,
Desert,Methyl jasmonate,3,108,29,6.84,17.79,,3
,,,,,,,,
Desert,Methyl jasmonate,3,109,31,5.88,27.14,56.82646203,5
,,,,,,,,
Desert,Methyl jasmonate,3,109,33,4.84,25.51,80.81283869,4
,,,,,,,,
Desert,Methyl jasmonate,3,109,26,5.12,14.11,52.87420165,4
,,,,,,,,
Desert,Methyl jasmonate,4,110,26,4.47,20.18,58.60672635,4
,,,,,,,,
Desert,Methyl jasmonate,4,110,19,3.1,16.32,51.73643517,3
,,,,,,,,
Desert,Methyl jasmonate,4,110,19,3.75,20.34,47.4225299,4
,,,,,,,,
Desert,Methyl jasmonate,4,111,25,3.43,19.44,51.13947696,
,,,,,,,,
Desert,Methyl jasmonate,4,111,26,4.3,15.21,52.76499249,
,,,,,,,,
Desert,Methyl jasmonate,4,111,23,2.84,14.83,,
,,,,,,,,
Desert,Methyl jasmonate,4,112,30,2.63,18.76,40.27562316,2
,,,,,,,,
Desert,Methyl jasmonate,4,112,26,4.47,18.16,35.28257711,5
,,,,,,,,
Desert,Methyl jasmonate,4,112,,,,47.06486043,
,,,,,,,,
Desert,Methyl jasmonate,5,113,29,5.91,15.83,78.84589167,4
,,,,,,,,
Desert,Methyl jasmonate,5,113,33,,14.48,53.50026416,4
,,,,,,,,
Desert,Methyl jasmonate,5,113,33,2.15,12.68,,2
,,,,,,,,
Desert,Methyl jasmonate,5,114,24,5.26,16.55,53.09686851,4
,,,,,,,,
Desert,Methyl jasmonate,5,114,33,5.71,13.15,68.89000355,4
,,,,,,,,
Desert,Methyl jasmonate,5,114,31,4.57,8.55,64.32444748,4
,,,,,,,,
Desert,Methyl jasmonate,5,115,33,,21.48,50.85512729,2
,,,,,,,,
Desert,Methyl jasmonate,5,115,31,2.09,8.23,34.60449927,3
,,,,,,,,
Desert,Methyl jasmonate,5,115,37,4.55,13.56,45.3056353,3
,,,,,,,,
Desert,Methyl jasmonate,6,116,26,,17.94,38.47314004,5
,,,,,,,,
Desert,Methyl jasmonate,6,116,31,4.86,19.78,55.44955879,5
,,,,,,,,
Desert,Methyl jasmonate,6,116,36,7.98,14.62,60.36998906,4
,,,,,,,,
Desert,Methyl jasmonate,6,117,31,6.62,13.75,64.98906101,5
,,,,,,,,
Desert,Methyl jasmonate,6,117,31,6.29,13.21,67.80394483,5
,,,,,,,,
Desert,Methyl jasmonate,6,117,33,6.63,17.33,72.53580603,5
,,,,,,,,
Desert,Methyl jasmonate,6,118,33,3.7,15.59,63.84197422,
,,,,,,,,
Desert,Methyl jasmonate,6,118,24,6.48,16.16,53.51315975,4
,,,,,,,,
Desert,Methyl jasmonate,6,118,26,4.16,18.4,97.86061952,5
,,,,,,,,
Desert,Methyl jasmonate,7,119,25,6.44,16.01,67.17541221,4
,,,,,,,,
Desert,Methyl jasmonate,7,119,24,5.15,13.26,70.94191523,4
,,,,,,,,
Desert,Methyl jasmonate,7,119,24,1.28,17.28,66.60492452,
,,,,,,,,
Desert,Methyl jasmonate,7,120,31,6.99,11.71,48.61749342,5
,,,,,,,,
Desert,Methyl jasmonate,7,120,18,3.67,25.89,79.01625675,3
,,,,,,,,
Desert,Methyl jasmonate,7,120,31,7.02,,200.4404897,3
,,,,,,,,
Desert,Methyl jasmonate,7,121,31,3.16,21.82,51.16515367,4
,,,,,,,,
